field,max_abs_diff,signed_diff_fp32_minus_original,original_value,fp32_value,sample_idx,layer,alpha,location_key
original.h_pre,0.0004487052530683308,0.0004487052530683308,0.050819489481575164,0.051268194734643495,459,31,,
original.h_post,0.004297289173823993,-0.004297289173823993,0.5285861092526449,0.5242888200788209,142,21,,
original.h_norm,0.01930999755859375,-0.01930999755859375,34.00833511352539,33.9890251159668,166,30,,
unit_norm.h_pre,2.4324737302183763e-07,-2.4324737302183763e-07,0.9999919774524102,0.9999917342050372,32,1,,
unit_norm.h_post,0.003896498585582442,-0.003896498585582442,0.4597453999628622,0.45584890137727974,236,22,,
alpha.h_pre,0.00532971210728117,0.00532971210728117,0.42835688057500637,0.43368659268228754,275,27,4.0,
alpha.h_post,0.004698525715582658,-0.004698525715582658,0.4219977050439727,0.41729917932839006,236,22,0.5,
