field,max_abs_diff,signed_diff_fp32_minus_original,original_value,fp32_value,sample_idx,layer,alpha,location_key
original.h_pre,0.0031824942426489228,-0.0031824942426489228,0.06044394249839766,0.057261448255748734,454,26,,
original.h_post,0.005382535573903835,0.005382535573903835,0.23364905602310937,0.2390315915970132,30,11,,
original.h_norm,0.371002197265625,-0.371002197265625,410.0344543457031,409.6634521484375,53,26,,
unit_norm.h_pre,4.795523531608836e-07,4.795523531608836e-07,0.999933713620023,0.9999341931723762,376,23,,
unit_norm.h_post,0.005170513489788975,0.005170513489788975,0.23603824579030364,0.2412087592800926,30,11,,
alpha.h_pre,0.009142560709796944,0.009142560709796944,0.030984369574563513,0.04012693028436046,62,26,4.0,
alpha.h_post,0.005463000462484602,0.005463000462484602,0.23357770262923752,0.23904070309172212,30,11,0.35,
